FOR ~10000 Tweets processed
         66128862 function calls (65856500 primitive calls) in 481.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2662    0.056    0.000    0.379    0.000 feedparser.py:218(_parsegen)
   250409    0.309    0.000    0.375    0.000 threading.py:1226(current_thread)
   111804    0.137    0.000    0.368    0.000 _tokenizer.py:1056(afterAttributeValueState)
   228401    0.234    0.000    0.365    0.000 __init__.py:120(getLevelName)
    69212    0.124    0.000    0.364    0.000 _tokenizer.py:1012(attributeValueSingleQuotedState)
   126445    0.263    0.000    0.363    0.000 _tokenizer.py:361(tagOpenState)
    46416    0.120    0.000    0.363    0.000 range.py:286(equals)
   474449    0.357    0.000    0.357    0.000 {method 'find' of 'str' objects}
    46416    0.134    0.000    0.357    0.000 internals.py:4177(get_values)
    13310    0.128    0.000    0.350    0.000 html5parser.py:1396(endTagFormatting)
   116040    0.186    0.000    0.349    0.000 {pandas.lib.values_from_object}
    46416    0.067    0.000    0.348    0.000 common.py:98(is_period_dtype)
    23208    0.162    0.000    0.346    0.000 frame.py:252(__init__)
   685222    0.341    0.000    0.341    0.000 {built-in method posix.fspath}
   430028    0.332    0.000    0.332    0.000 __init__.py:1523(getEffectiveLevel)
    46416    0.200    0.000    0.327    0.000 dtypes.py:170(__new__)
    69624    0.189    0.000    0.325    0.000 series.py:322(name)
    23208    0.103    0.000    0.324    0.000 internals.py:3257(_consolidate_check)
    23208    0.319    0.000    0.319    0.000 {pandas.algos.take_2d_axis1_object_object}
     3993    0.011    0.000    0.314    0.000 html5parser.py:673(startTagBaseLinkCommand)
   571233    0.314    0.000    0.314    0.000 {built-in method time.time}
   672801    0.312    0.000    0.312    0.000 {method 'join' of 'str' objects}
    15129    0.015    0.000    0.311    0.000 treetaggerwrapper.py:1996(split_email)
   456811    0.310    0.000    0.310    0.000 __init__.py:698(filter)
    23208    0.052    0.000    0.309    0.000 generic.py:2795(_consolidate_inplace)
   228410    0.194    0.000    0.309    0.000 posixpath.py:39(_get_sep)
   456820    0.306    0.000    0.306    0.000 {method 'acquire' of '_thread.RLock' objects}
    23211    0.179    0.000    0.301    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
    46416    0.091    0.000    0.301    0.000 base.py:2104(get_loc)
     1331    0.070    0.000    0.300    0.000 html5parser.py:872(__init__)
    23210    0.158    0.000    0.300    0.000 base.py:334(_simple_new)
    92832    0.176    0.000    0.297    0.000 internals.py:4147(dtype)
    46416    0.040    0.000    0.295    0.000 common.py:59(is_sparse)
     5324    0.101    0.000    0.295    0.000 _inputstream.py:792(getAttribute)
   341079    0.294    0.000    0.294    0.000 {method 'decode' of 'bytes' objects}
     5324    0.021    0.000    0.286    0.000 html5parser.py:1169(startTagHr)
   124297    0.208    0.000    0.285    0.000 element.py:296(_last_descendant)
    46416    0.158    0.000    0.281    0.000 dtypes.py:347(is_dtype)
    46416    0.263    0.000    0.276    0.000 numeric.py:2786(geterr)
    55902    0.164    0.000    0.275    0.000 _tokenizer.py:567(scriptDataEndTagNameState)
    69624    0.275    0.000    0.275    0.000 generic.py:114(__init__)
    46416    0.078    0.000    0.269    0.000 generic.py:353(_get_axis)
   214291    0.109    0.000    0.269    0.000 {built-in method builtins.next}
   116063    0.167    0.000    0.266    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1331    0.260    0.000    0.260    0.000 {method 'connect' of '_socket.socket' objects}
    19965    0.075    0.000    0.259    0.000 html5parser.py:1337(endTagBlock)
    23208    0.065    0.000    0.257    0.000 generic.py:2785(_protect_consolidate)
   111804    0.159    0.000    0.253    0.000 _tokenizer.py:959(beforeAttributeValueState)
    46416    0.183    0.000    0.252    0.000 series.py:286(_set_axis)
     9574    0.037    0.000    0.240    0.000 element.py:232(replace_with)
     3993    0.007    0.000    0.240    0.000 html5parser.py:1005(startTagProcessInHead)
    92832    0.237    0.000    0.237    0.000 generic.py:2730(__getattr__)
     1331    0.214    0.000    0.233    0.000 html5parser.py:2470(__init__)
   116040    0.082    0.000    0.230    0.000 {built-in method builtins.hash}
   228401    0.223    0.000    0.223    0.000 {built-in method sys._getframe}
    23208    0.033    0.000    0.218    0.000 series.py:473(__array__)
     5324    0.010    0.000    0.218    0.000 html5parser.py:1296(startTagOther)
   319445    0.215    0.000    0.215    0.000 _weakrefset.py:70(__contains__)
    92832    0.179    0.000    0.214    0.000 internals.py:216(mgr_locs)
    46416    0.075    0.000    0.213    0.000 common.py:81(is_datetime64_dtype)
    23208    0.056    0.000    0.211    0.000 internals.py:3258(<listcomp>)
    69624    0.133    0.000    0.211    0.000 base.py:522(values)
     1331    0.007    0.000    0.210    0.000 client.py:438(read)
    11004    0.068    0.000    0.207    0.000 treetaggerwrapper.py:1821(split_sgml)
     1331    0.013    0.000    0.203    0.000 client.py:558(_readall_chunked)
   228401    0.201    0.000    0.201    0.000 process.py:137(name)
   200647    0.196    0.000    0.196    0.000 {method 'split' of 'str' objects}
    23208    0.196    0.000    0.196    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    23208    0.063    0.000    0.195    0.000 base.py:826(item)
    46416    0.130    0.000    0.194    0.000 algorithms.py:977(_get_take_nd_function)
    23958    0.061    0.000    0.193    0.000 _tokenizer.py:328(scriptDataState)
   525232    0.192    0.000    0.192    0.000 {built-in method _thread.get_ident}
    46416    0.191    0.000    0.191    0.000 validators.py:113(_check_for_invalid_keys)
   142417    0.191    0.000    0.191    0.000 _utils.py:67(__getitem__)
    11004    0.067    0.000    0.188    0.000 threading.py:1024(join)
    23208    0.135    0.000    0.187    0.000 base.py:606(_get_attributes_dict)
    10996    0.017    0.000    0.186    0.000 treetaggerwrapper.py:1896(blank_to_space)
    23208    0.022    0.000    0.186    0.000 numeric.py:534(asanyarray)
    11018    0.040    0.000    0.183    0.000 threading.py:498(__init__)
   185664    0.132    0.000    0.180    0.000 base.py:491(__len__)
    46416    0.111    0.000    0.179    0.000 series.py:326(name)
    23208    0.072    0.000    0.179    0.000 generic.py:2798(f)
    23208    0.058    0.000    0.178    0.000 generic.py:357(_get_block_manager_axis)
    15129    0.014    0.000    0.173    0.000 treetaggerwrapper.py:1944(split_ip)
     1331    0.015    0.000    0.173    0.000 html5parser.py:433(processDoctype)
   116040    0.170    0.000    0.170    0.000 {method 'view' of 'numpy.ndarray' objects}
   456820    0.170    0.000    0.170    0.000 {method 'release' of '_thread.RLock' objects}
    46416    0.077    0.000    0.169    0.000 common.py:135(is_dtype_equal)
   228401    0.163    0.000    0.163    0.000 threading.py:1076(name)
    46416    0.053    0.000    0.163    0.000 base.py:527(get_values)
   468209    0.163    0.000    0.163    0.000 {method 'lower' of 'str' objects}
   464162    0.162    0.000    0.162    0.000 {built-in method builtins.issubclass}
    23211    0.038    0.000    0.162    0.000 <frozen importlib._bootstrap>:153(__exit__)
    23208    0.023    0.000    0.161    0.000 series.py:463(__len__)
    50081    0.161    0.000    0.161    0.000 {method 'format' of 'str' objects}
     4124    0.022    0.000    0.160    0.000 client.py:534(_get_chunk_left)
    47916    0.078    0.000    0.160    0.000 _inputstream.py:663(matchBytes)
    46416    0.136    0.000    0.155    0.000 internals.py:301(ftype)
    69624    0.153    0.000    0.153    0.000 dtypes.py:132(construct_from_string)
    46416    0.102    0.000    0.153    0.000 generic.py:340(_get_axis_name)
   139755    0.101    0.000    0.151    0.000 __init__.py:262(set_up_substitutions)
    23208    0.067    0.000    0.148    0.000 generic.py:829(__hash__)
    46416    0.055    0.000    0.148    0.000 internals.py:163(to_dense)
   350462    0.147    0.000    0.147    0.000 {method 'strip' of 'str' objects}
     1331    0.059    0.000    0.146    0.000 feedparser.py:471(_parse_headers)
    23208    0.082    0.000    0.145    0.000 missing.py:245(array_equivalent)
    23211    0.136    0.000    0.145    0.000 <frozen importlib._bootstrap>:77(acquire)
    46420    0.041    0.000    0.144    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
     1331    0.013    0.000    0.143    0.000 request.py:326(__init__)
    90508    0.064    0.000    0.142    0.000 element.py:1598(_normalize_search_value)
    23208    0.090    0.000    0.142    0.000 generic.py:1503(_set_is_copy)
   208942    0.141    0.000    0.141    0.000 {built-in method builtins.max}
    23208    0.045    0.000    0.138    0.000 {built-in method builtins.sum}
   128876    0.137    0.000    0.137    0.000 {built-in method __new__ of type object at 0x10fff3650}
   248897    0.136    0.000    0.136    0.000 _html5lib.py:411(getNameTuple)
