         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 10528743    6.241    0.000   44.924    0.000 numeric.py:463(asarray)
   158215    0.640    0.000   44.680    0.000 merge.py:1756(_concat_indexes)
  2363098    5.270    0.000   44.466    0.000 generic.py:2785(_protect_consolidate)
   158213    2.668    0.000   43.712    0.000 tweetProcessor.py:359(remove_candidates_names)
  5862093   17.361    0.000   43.295    0.000 internals.py:2786(shape)
    47612    0.791    0.000   42.654    0.001 frame.py:5497(_to_arrays)
  1210830   12.751    0.000   42.297    0.000 missing.py:120(_isnull_ndarraylike)
   205827    2.314    0.000   41.883    0.000 frame.py:5689(_homogenize)
  6099353    6.439    0.000   41.776    0.000 common.py:64(is_categorical)
    47612    2.281    0.000   41.451    0.001 frame.py:5601(_list_of_series_to_arrays)
455552/427080    1.193    0.000   40.945    0.000 html5parser.py:410(processStartTag)
  6274083   21.906    0.000   40.350    0.000 generic.py:2746(__setattr__)
   190466    6.734    0.000   40.314    0.000 internals.py:4830(get_empty_dtype_and_na)
  1589004   40.211    0.000   40.211    0.000 {method 'acquire' of '_thread.lock' objects}
  1265704    4.348    0.000   39.554    0.000 treetaggerwrapper.py:1772(build_with_callable)
 28192046   38.864    0.000   38.864    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   158215    1.334    0.000   38.436    0.000 frame.py:5411(extract_index)
   190466    0.866    0.000   37.498    0.000 internals.py:4920(<listcomp>)
    47614    0.463    0.000   37.444    0.001 generic.py:2387(filter)
  2172640    5.164    0.000   37.412    0.000 generic.py:2798(f)
   785626    2.913    0.000   36.633    0.000 internals.py:5170(get_reindexed_values)
   364052    6.788    0.000   36.574    0.000 concat.py:24(get_dtype_kinds)
  6830017    7.070    0.000   36.561    0.000 common.py:54(is_object_dtype)
  1824424    5.976    0.000   36.368    0.000 common.py:320(_coerce_to_dtype)
    95226    0.607    0.000   35.429    0.000 generic.py:5618(stat_func)
  2359287   34.874    0.000   34.874    0.000 {method 'spell' of 'HunSpell' objects}
  4011621    5.152    0.000   34.815    0.000 {method 'any' of 'numpy.ndarray' objects}
  2109768    9.445    0.000   34.462    0.000 missing.py:245(array_equivalent)
    67454    0.348    0.000   34.380    0.001 frame.py:2405(__setitem__)
  2248932    6.985    0.000   34.215    0.000 internals.py:208(make_block_same_class)
  2087974    8.799    0.000   34.203    0.000 __init__.py:490(formatTime)
    95226    1.049    0.000   33.932    0.000 frame.py:4928(_reduce)
  3484921   32.864    0.000   33.893    0.000 {pandas.lib.infer_dtype}
   170945    6.029    0.000   33.865    0.000 algorithms.py:264(factorize)
   419962    2.069    0.000   33.858    0.000 base.py:292(insertElementNormal)
  1044293    4.000    0.000   33.699    0.000 __init__.py:964(flush)
    67454    0.350    0.000   33.341    0.000 frame.py:2473(_set_item)
  1611153    5.499    0.000   32.227    0.000 treetaggerwrapper.py:2001(split_on_regexp)
  2427211   12.463    0.000   31.451    0.000 internals.py:1811(__init__)
  4936785   31.407    0.000   31.407    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1713821    3.244    0.000   31.306    0.000 common.py:301(is_extension_type)
   757795    2.488    0.000   31.019    0.000 generic.py:2244(<listcomp>)
    67454    0.125    0.000   30.963    0.000 indexing.py:1558(_getitem_tuple)
   316426   30.956    0.000   30.956    0.000 {built-in method _thread.start_new_thread}
 14842139    8.550    0.000   30.833    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
   205829    0.696    0.000   30.652    0.000 base.py:1478(_append_same_dtype)
   380904    2.955    0.000   30.645    0.000 internals.py:346(apply)
  5407358    5.330    0.000   30.141    0.000 series.py:391(get_values)
   205829    2.683    0.000   29.956    0.000 concat.py:392(_concat_index_asobject)
  4011623    2.922    0.000   29.663    0.000 _methods.py:37(_any)
   431492    0.593    0.000   28.930    0.000 generic.py:2803(consolidate)
  1998759   28.841    0.000   28.841    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
  1122060   10.057    0.000   28.695    0.000 internals.py:2966(_verify_integrity)
  4948150    4.392    0.000   28.691    0.000 common.py:98(is_period_dtype)
  3104244   14.552    0.000   28.436    0.000 base.py:334(_simple_new)
    67454    0.263    0.000   28.099    0.000 generic.py:1499(_set_item)
  4641167    9.537    0.000   27.911    0.000 base.py:1131(_convert_scalar_indexer)
  2172640    2.580    0.000   27.904    0.000 internals.py:3513(consolidate)
    67454    0.660    0.000   27.732    0.000 internals.py:3636(set)
    95228    1.493    0.000   27.618    0.000 ops.py:803(wrapper)
    47613    0.312    0.000   27.503    0.001 generic.py:3057(copy)
   912212    1.644    0.000   26.975    0.000 generic.py:131(_validate_dtype)
   158223    1.492    0.000   26.804    0.000 concat.py:99(_concat_compat)
    47613    0.271    0.000   26.579    0.001 internals.py:3364(copy)
  1043987   26.016    0.000   26.016    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   273283    1.283    0.000   26.001    0.000 base.py:379(_shallow_copy_with_infer)
 17428066    8.126    0.000   25.934    0.000 internals.py:2788(<genexpr>)
  1913574    1.353    0.000   25.635    0.000 tweetProcessor.py:376(is_correctly_spelled)
   757795    1.421    0.000   25.493    0.000 base.py:1663(identical)
  6446009    8.525    0.000   25.492    0.000 common.py:81(is_datetime64_dtype)
  7393916   25.125    0.000   25.125    0.000 {built-in method numpy.core.multiarray.empty}
  5407358    9.920    0.000   24.811    0.000 internals.py:4177(get_values)
  4948150    9.338    0.000   24.299    0.000 dtypes.py:347(is_dtype)
    67454    1.569    0.000   24.166    0.000 internals.py:3748(insert)
   924603    6.926    0.000   23.865    0.000 cast.py:672(_possibly_infer_to_datetimelike)
        4    0.352    0.088   23.743    5.936 api.py:45(_union_indexes)
   512829    4.415    0.000   23.681    0.000 groupby.py:3882(<genexpr>)
   341890    1.967    0.000   23.456    0.000 frame.py:2393(_box_item_values)
  5573688   10.038    0.000   23.054    0.000 internals.py:216(mgr_locs)
  1059067    4.697    0.000   23.025    0.000 base.py:371(_shallow_copy)
  8985651    7.736    0.000   22.909    0.000 series.py:333(dtype)
  4225649    9.879    0.000   22.305    0.000 candidate.py:35(regex)
  2367674   10.318    0.000   21.738    0.000 series.py:286(_set_axis)
   134908    0.185    0.000   21.312    0.000 indexing.py:104(_get_loc)
    67454    0.228    0.000   21.009    0.000 groupby.py:4012(__iter__)
